               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032954,            0.011343,           0.0013423,             0.54213,             0.85077,             0.60237,             0.43292,            0.025591,            0.009076,           0.0019079,            0.006535,            0.006535,            0.006535
                  37,            0.032072,            0.011225,            0.001376,              0.5188,             0.87356,             0.55563,             0.38222,            0.026637,           0.0095468,           0.0016394,            0.006436,            0.006436,            0.006436
                  38,            0.032399,            0.011246,           0.0011088,             0.53988,             0.87625,              0.5863,             0.39761,            0.025728,           0.0087652,           0.0012797,            0.006337,            0.006337,            0.006337
                  39,            0.031832,             0.01122,           0.0012685,             0.50035,             0.87482,             0.57655,             0.40621,            0.026158,           0.0087655,           0.0027288,            0.006238,            0.006238,            0.006238
                  40,            0.031004,              0.0107,           0.0013498,             0.48215,             0.80494,              0.5003,             0.28889,            0.035722,           0.0092242,           0.0059299,            0.006139,            0.006139,            0.006139
                  41,            0.031053,            0.010273,           0.0011879,             0.48548,              0.8295,             0.54454,             0.35289,             0.03034,           0.0091911,           0.0022698,             0.00604,             0.00604,             0.00604
                  42,            0.031227,            0.010753,            0.001148,             0.51019,             0.89009,             0.56627,             0.39456,            0.026901,           0.0083859,           0.0028751,            0.005941,            0.005941,            0.005941
                  43,            0.030232,            0.010799,           0.0014008,             0.52909,            0.040816,           0.0063938,           0.0038631,            0.095652,            0.039245,            0.045325,            0.005842,            0.005842,            0.005842
                  44,             0.03006,            0.010852,           0.0011059,             0.51681,             0.90771,             0.57325,             0.42418,            0.024311,            0.008663,           0.0021494,            0.005743,            0.005743,            0.005743
                  45,            0.028962,            0.010417,          0.00098453,             0.47862,             0.80209,             0.48978,             0.29575,            0.034071,            0.009858,            0.001488,            0.005644,            0.005644,            0.005644
                  46,            0.028704,             0.01017,          0.00077747,              0.4805,             0.75842,              0.4576,              0.2797,            0.034333,           0.0099997,           0.0019944,            0.005545,            0.005545,            0.005545
                  47,            0.028799,            0.010609,           0.0012219,             0.54451,             0.83724,             0.55234,             0.40198,            0.023701,            0.008958,            0.002217,            0.005446,            0.005446,            0.005446
                  48,            0.028818,            0.010323,          0.00085481,             0.51634,             0.80351,             0.52499,             0.37457,            0.025387,           0.0095733,           0.0043404,            0.005347,            0.005347,            0.005347
                  49,            0.028882,             0.01045,          0.00099959,             0.51592,             0.94756,             0.57064,             0.41694,             0.02426,           0.0082934,            0.002188,            0.005248,            0.005248,            0.005248
                  50,            0.028373,            0.010184,          0.00088943,             0.50643,             0.91552,             0.53753,             0.38917,            0.024785,           0.0092109,           0.0041936,            0.005149,            0.005149,            0.005149
                  51,            0.027554,            0.010218,          0.00066185,             0.45049,             0.61618,             0.41861,             0.21669,            0.042674,            0.011067,           0.0076857,             0.00505,             0.00505,             0.00505
                  52,            0.027655,             0.01013,          0.00073309,             0.52305,             0.84089,             0.51677,              0.3427,            0.028178,           0.0090314,           0.0045068,            0.004951,            0.004951,            0.004951
                  53,            0.026492,           0.0093067,           0.0011302,             0.51811,             0.90202,             0.57137,             0.41713,            0.022661,           0.0086945,           0.0014706,            0.004852,            0.004852,            0.004852
                  54,            0.027075,           0.0099758,          0.00076082,             0.41939,             0.58104,              0.3609,              0.1662,            0.048744,            0.011268,           0.0036657,            0.004753,            0.004753,            0.004753
                  55,             0.02644,           0.0096918,          0.00089245,             0.51278,             0.77057,              0.5279,             0.33755,             0.03214,           0.0093249,           0.0059404,            0.004654,            0.004654,            0.004654
                  56,            0.026311,            0.009726,          0.00057884,             0.48272,             0.69232,             0.45183,             0.29548,            0.033114,           0.0099416,           0.0030547,            0.004555,            0.004555,            0.004555
                  57,            0.026124,           0.0097298,          0.00064869,             0.53964,               0.826,              0.5635,             0.41947,            0.023641,            0.009078,            0.001339,            0.004456,            0.004456,            0.004456
                  58,            0.025212,           0.0097692,          0.00081813,             0.52206,             0.85726,             0.55799,             0.41666,            0.023468,           0.0095468,           0.0043083,            0.004357,            0.004357,            0.004357
                  59,            0.026425,           0.0094691,          0.00064977,             0.52561,             0.88841,             0.58228,             0.43433,            0.023504,           0.0089173,           0.0032739,            0.004258,            0.004258,            0.004258
                  60,            0.025709,            0.009635,          0.00057728,             0.54327,             0.89369,             0.54461,             0.40011,            0.023729,           0.0095053,           0.0051719,            0.004159,            0.004159,            0.004159
                  61,            0.025331,           0.0099033,          0.00078976,             0.52504,             0.88046,             0.54938,             0.41925,            0.022013,           0.0085083,           0.0031754,             0.00406,             0.00406,             0.00406
                  62,            0.025039,           0.0094931,          0.00058262,             0.42557,             0.68805,             0.38133,             0.17328,            0.046976,            0.011041,           0.0027769,            0.003961,            0.003961,            0.003961
                  63,            0.023719,           0.0091966,          0.00063132,             0.51171,             0.89665,              0.5622,             0.42731,             0.02183,           0.0089257,           0.0015161,            0.003862,            0.003862,            0.003862
                  64,             0.02407,           0.0097539,          0.00069487,             0.53619,             0.89295,             0.55624,             0.38243,            0.025598,           0.0088387,           0.0017054,            0.003763,            0.003763,            0.003763
                  65,            0.024313,           0.0091559,          0.00051741,             0.54022,             0.85002,             0.56019,             0.39627,            0.024717,           0.0091384,           0.0021235,            0.003664,            0.003664,            0.003664
                  66,            0.023988,           0.0091307,          0.00046585,             0.50367,             0.91595,             0.55996,             0.42237,            0.022273,           0.0087985,           0.0014369,            0.003565,            0.003565,            0.003565
